"city","date","trend"
"Beijing",2020-11-01,35.5560086682436
"Beijing",2020-12-01,35.4296248931048
"Beijing",2021-01-01,35.3032411179661
"Beijing",2021-02-01,34.9228743612896
"Beijing",2021-03-01,34.542507604613
"Beijing",2021-04-01,33.7838675808634
"Beijing",2021-05-01,33.0252275571137
"Beijing",2021-06-01,32.0310283757644
"Beijing",2021-07-01,31.0368291944152
"Beijing",2021-08-01,29.8854858021607
"Beijing",2021-09-01,28.7341424099062
"Beijing",2021-10-01,27.4521479686832
"Beijing",2021-11-01,26.1701535274603
"Beijing",2021-12-01,24.7904799950842
"Shanghai",2000-01-01,38.6509181540538
"Shanghai",2000-02-01,39.2730249969308
"Shanghai",2000-03-01,39.8951318398078
"Shanghai",2000-04-01,40.4383235863063
"Shanghai",2000-05-01,40.9815153328049
"Shanghai",2000-06-01,41.5421380677949
"Shanghai",2000-07-01,42.102760802785
"Shanghai",2000-08-01,42.6257387081591
"Shanghai",2000-09-01,43.1487166135332
"Shanghai",2000-10-01,43.0929437587808
"Shanghai",2000-11-01,43.0371709040285
"Shanghai",2000-12-01,42.981512805209
"Shanghai",2001-01-01,42.9258547063894
"Shanghai",2001-02-01,43.0198519852603
"Shanghai",2001-03-01,43.1138492641311
"Shanghai",2001-04-01,43.5527073284038
"Shanghai",2001-05-01,43.9915653926765
"Shanghai",2001-06-01,44.6322842128495
"Shanghai",2001-07-01,45.2730030330225
"Shanghai",2001-08-01,45.7480631232192
"Shanghai",2001-09-01,46.2231232134159
"Shanghai",2001-10-01,46.5039678097921
"Shanghai",2001-11-01,46.7848124061683
"Shanghai",2001-12-01,47.1747430569297
"Shanghai",2002-01-01,47.5646737076912
"Shanghai",2002-02-01,48.1569644889604
"Shanghai",2002-03-01,48.7492552702296
"Shanghai",2002-04-01,49.2284696421954
"Shanghai",2002-05-01,49.7076840141611
"Shanghai",2002-06-01,49.9456592819324
"Shanghai",2002-07-01,50.1836345497037
"Shanghai",2002-08-01,50.3753128649692
"Shanghai",2002-09-01,50.5669911802347
"Shanghai",2002-10-01,50.8187731570442
"Shanghai",2002-11-01,51.0705551338538
"Shanghai",2002-12-01,51.3891831724818
"Shanghai",2003-01-01,51.7078112111099
"Shanghai",2003-02-01,51.7812741667456
"Shanghai",2003-03-01,51.8547371223813
"Shanghai",2003-04-01,51.7278148497241
"Shanghai",2003-05-01,51.6008925770669
"Shanghai",2003-06-01,51.6875501837154
"Shanghai",2003-07-01,51.774207790364
"Shanghai",2003-08-01,51.9174967369119
"Shanghai",2003-09-01,52.0607856834598
"Shanghai",2003-10-01,52.1461483719369
"Shanghai",2003-11-01,52.2315110604139
"Shanghai",2003-12-01,52.1432838683789
"Shanghai",2004-01-01,52.0550566763438
"Shanghai",2004-02-01,51.9829854378068
"Shanghai",2004-03-01,51.9109141992698
"Shanghai",2004-04-01,52.0033057650887
"Shanghai",2004-05-01,52.0956973309075
"Shanghai",2004-06-01,51.9188885891717
"Shanghai",2004-07-01,51.742079847436
"Shanghai",2004-08-01,51.4039940258188
"Shanghai",2004-09-01,51.0659082042017
"Shanghai",2004-10-01,50.8462243162758
"Shanghai",2004-11-01,50.62654042835
"Shanghai",2004-12-01,50.4965745359222
"Shanghai",2005-01-01,50.3666086434943
"Shanghai",2005-02-01,50.2906640307921
"Shanghai",2005-03-01,50.21471941809
"Shanghai",2005-04-01,50.2629165469674
"Shanghai",2005-05-01,50.3111136758448
"Shanghai",2005-06-01,50.4400433528784
"Shanghai",2005-07-01,50.5689730299121
"Shanghai",2005-08-01,50.813923150948
"Shanghai",2005-09-01,51.0588732719839
"Shanghai",2005-10-01,51.3295867658036
"Shanghai",2005-11-01,51.6003002596233
"Shanghai",2005-12-01,51.9233973106843
"Shanghai",2006-01-01,52.2464943617454
"Shanghai",2006-02-01,52.3957917929427
"Shanghai",2006-03-01,52.5450892241401
"Shanghai",2006-04-01,52.7592526750764
"Shanghai",2006-05-01,52.9734161260128
"Shanghai",2006-06-01,53.5755792746018
"Shanghai",2006-07-01,54.1777424231908
"Shanghai",2006-08-01,54.7297778991195
"Shanghai",2006-09-01,55.2818133750482
"Shanghai",2006-10-01,55.5499436638135
"Shanghai",2006-11-01,55.8180739525788
"Shanghai",2006-12-01,56.1093191766463
"Shanghai",2007-01-01,56.4005644007139
"Shanghai",2007-02-01,56.4914905943407
"Shanghai",2007-03-01,56.5824167879676
"Shanghai",2007-04-01,56.2205426249037
"Shanghai",2007-05-01,55.8586684618398
"Shanghai",2007-06-01,55.3909473011298
"Shanghai",2007-07-01,54.9232261404197
"Shanghai",2007-08-01,54.7820210772083
"Shanghai",2007-09-01,54.6408160139968
"Shanghai",2007-10-01,54.6638063294847
"Shanghai",2007-11-01,54.6867966449725
"Shanghai",2007-12-01,54.6685257555751
"Shanghai",2008-01-01,54.6502548661777
"Shanghai",2008-02-01,54.7898347592034
"Shanghai",2008-03-01,54.9294146522291
"Shanghai",2008-04-01,55.2018162522877
"Shanghai",2008-05-01,55.4742178523464
"Shanghai",2008-06-01,55.6386015021485
"Shanghai",2008-07-01,55.8029851519506
"Shanghai",2008-08-01,55.755292418135
"Shanghai",2008-09-01,55.7075996843194
"Shanghai",2008-10-01,55.6538071217197
"Shanghai",2008-11-01,55.60001455912
"Shanghai",2008-12-01,55.6910563978819
"Shanghai",2009-01-01,55.7820982366438
"Shanghai",2009-02-01,55.8045968033324
"Shanghai",2009-03-01,55.827095370021
"Shanghai",2009-04-01,55.6700205532316
"Shanghai",2009-05-01,55.5129457364423
"Shanghai",2009-06-01,55.3221911271662
"Shanghai",2009-07-01,55.1314365178901
"Shanghai",2009-08-01,54.8267230092809
"Shanghai",2009-09-01,54.5220095006717
"Shanghai",2009-10-01,53.9631723684512
"Shanghai",2009-11-01,53.4043352362306
"Shanghai",2009-12-01,52.8130100147369
"Shanghai",2010-01-01,52.2216847932431
"Shanghai",2010-02-01,51.837028953371
"Shanghai",2010-03-01,51.4523731134989
"Shanghai",2010-04-01,51.5093264340887
"Shanghai",2010-05-01,51.5662797546785
"Shanghai",2010-06-01,52.0759487161296
"Shanghai",2010-07-01,52.5856176775807
"Shanghai",2010-08-01,53.4943134179001
"Shanghai",2010-09-01,54.4030091582195
"Shanghai",2010-10-01,55.3115656531109
"Shanghai",2010-11-01,56.2201221480022
"Shanghai",2010-12-01,56.7085008113765
"Shanghai",2011-01-01,57.1968794747507
"Shanghai",2011-02-01,57.2331363380039
"Shanghai",2011-03-01,57.2693932012571
"Shanghai",2011-04-01,56.7980012122834
"Shanghai",2011-05-01,56.3266092233097
"Shanghai",2011-06-01,55.5734737491848
"Shanghai",2011-07-01,54.8203382750598
"Shanghai",2011-08-01,54.239723550856
"Shanghai",2011-09-01,53.6591088266522
"Shanghai",2011-10-01,53.2212607430965
"Shanghai",2011-11-01,52.7834126595407
"Shanghai",2011-12-01,52.400325269727
"Shanghai",2012-01-01,52.0172378799133
"Shanghai",2012-02-01,51.7982276112135
"Shanghai",2012-03-01,51.5792173425136
"Shanghai",2012-04-01,51.7321967463369
"Shanghai",2012-05-01,51.8851761501602
"Shanghai",2012-06-01,52.224517249884
"Shanghai",2012-07-01,52.5638583496077
"Shanghai",2012-08-01,52.9461814624922
"Shanghai",2012-09-01,53.3285045753767
"Shanghai",2012-10-01,53.7257608056872
"Shanghai",2012-11-01,54.1230170359976
"Shanghai",2012-12-01,54.3436335885971
"Shanghai",2013-01-01,54.5642501411965
"Shanghai",2013-02-01,54.3419145098044
"Shanghai",2013-03-01,54.1195788784122
"Shanghai",2013-04-01,54.0648070516757
"Shanghai",2013-05-01,54.0100352249391
"Shanghai",2013-06-01,54.71358239335
"Shanghai",2013-07-01,55.4171295617609
"Shanghai",2013-08-01,55.8082324377737
"Shanghai",2013-09-01,56.1993353137864
"Shanghai",2013-10-01,56.32236801437
"Shanghai",2013-11-01,56.4454007149536
"Shanghai",2013-12-01,56.720113964593
"Shanghai",2014-01-01,56.9948272142323
"Shanghai",2014-02-01,57.04203420409
"Shanghai",2014-03-01,57.0892411939477
"Shanghai",2014-04-01,56.2407020292392
"Shanghai",2014-05-01,55.3921628645306
"Shanghai",2014-06-01,54.3194344533472
"Shanghai",2014-07-01,53.2467060421637
"Shanghai",2014-08-01,52.9198479263651
"Shanghai",2014-09-01,52.5929898105664
"Shanghai",2014-10-01,52.1399364057637
"Shanghai",2014-11-01,51.686883000961
"Shanghai",2014-12-01,50.9484728494647
"Shanghai",2015-01-01,50.2100626979684
"Shanghai",2015-02-01,49.7836097445669
"Shanghai",2015-03-01,49.3571567911655
"Shanghai",2015-04-01,49.1371343516973
"Shanghai",2015-05-01,48.9171119122291
"Shanghai",2015-06-01,48.6626721113078
"Shanghai",2015-07-01,48.4082323103865
"Shanghai",2015-08-01,48.2760879347561
"Shanghai",2015-09-01,48.1439435591258
"Shanghai",2015-10-01,48.1844124543592
